Scope Change ID,Date Requested,Requested By,Description,Supports Charter Objective?,Impact on Timeline,Impact on Budget,What Gets Displaced,Recommendation,Decision,Decided By,Decision Date,Notes
SCR-001,,,,Yes / No / Indirect,,,,Approve / Defer / Reject / Modify,,,,
SCR-002,,,,,,,,,,,,
SCR-003,,,,,,,,,,,,
SCR-004,,,,,,,,,,,,
SCR-005,,,,,,,,,,,,
SCR-006,,,,,,,,,,,,
SCR-007,,,,,,,,,,,,
SCR-008,,,,,,,,,,,,
Usage note:,"Use this tracker alongside the detailed scope change request form (scope-change-request.md). This spreadsheet gives you the at-a-glance view; the markdown form has the full analysis.",,,,,,,,,,,
Key insight:,"If this tracker has more than 5-10 entries in a single phase, scope governance is failing. Address the root cause — unclear requirements, stakeholder misalignment, or weak change control.",,,,,,,,,,,
